State,definitely_gave_care_professional_way_facility_clean,somewhat_gave_care_professional_way_facility_somewhat_clean,didnot_give_care_professional_way_facility_not_clean,facilitiesandstafflinearmeanscore,definitelycommunicatedaboutwhattoexpectduringandaftertheprocedure,somewhatcommunicatedabout,didnotcommunicateabout,communicationaboutyourprocedurelinearmeanscore,patientswhogavethefacilityaratingof9or10onascalefrom0(lowest)to10(highest),ratingof7or8,ratingof0to6,ratingofthefacilitylinearmeanscore,definitely_yes_recommendthefacilitytofamilyorfriends,probably_yes_recommendthefacilitytofamilyorfriends,no_recommendthefacilitytofamilyorfriends,recommendinglinearmeanscore,number_sampledpatients,number_completedsurveys,surveyresponseratepercent,startdate,enddate
Alabama,97.00 ,3.00 ,0.00 ,98.00 ,93.00 ,5.00 ,2.00 ,95.00 ,90.00 ,8.00 ,2.00 ,95.00 ,89.00 ,10.00 ,1.00 ,96.00 ,2627.00 ,718.00 ,27.00 ,01/01/2022,12/31/2022
Alaska,,,,,,,,,,,,,,,,,,,,,
American Samoa,,,,,,,,,,,,,,,,,,,,,
Arizona,97.00 ,3.00 ,0.00 ,98.00 ,91.00 ,7.00 ,2.00 ,95.00 ,90.00 ,8.00 ,2.00 ,95.00 ,88.00 ,11.00 ,1.00 ,95.00 ,23251.00 ,6398.00 ,28.00 ,01/01/2022,12/31/2022
Arkansas,,,,,,,,,,,,,,,,,,,,,
California,97.00 ,3.00 ,0.00 ,98.00 ,90.00 ,8.00 ,2.00 ,94.00 ,87.00 ,11.00 ,2.00 ,95.00 ,85.00 ,13.00 ,2.00 ,94.00 ,59460.00 ,16300.00 ,27.00 ,01/01/2022,12/31/2022
Colorado,98.00 ,2.00 ,0.00 ,99.00 ,92.00 ,6.00 ,2.00 ,95.00 ,89.00 ,9.00 ,2.00 ,95.00 ,85.00 ,13.00 ,2.00 ,94.00 ,14362.00 ,4096.00 ,29.00 ,01/01/2022,12/31/2022
Commonwealth of the Northern Marianas Islands,,,,,,,,,,,,,,,,,,,,,
Connecticut,98.00 ,2.00 ,0.00 ,99.00 ,93.00 ,6.00 ,1.00 ,96.00 ,89.00 ,11.00 ,0.00 ,96.00 ,88.00 ,11.00 ,1.00 ,95.00 ,1045.00 ,266.00 ,25.00 ,01/01/2022,12/31/2022
Delaware,,,,,,,,,,,,,,,,,,,,,
District of Columbia,,,,,,,,,,,,,,,,,,,,,
Florida,97.00 ,3.00 ,0.00 ,98.00 ,90.00 ,8.00 ,2.00 ,94.00 ,88.00 ,10.00 ,2.00 ,95.00 ,86.00 ,12.00 ,2.00 ,94.00 ,50328.00 ,16350.00 ,32.00 ,01/01/2022,12/31/2022
Georgia,98.00 ,2.00 ,0.00 ,99.00 ,92.00 ,6.00 ,2.00 ,95.00 ,91.00 ,7.00 ,2.00 ,96.00 ,89.00 ,9.00 ,2.00 ,95.00 ,15585.00 ,3752.00 ,24.00 ,01/01/2022,12/31/2022
Guam,,,,,,,,,,,,,,,,,,,,,
Hawaii,99.00 ,1.00 ,0.00 ,99.00 ,94.00 ,4.00 ,2.00 ,96.00 ,90.00 ,9.00 ,1.00 ,96.00 ,89.00 ,10.00 ,1.00 ,96.00 ,3783.00 ,1312.00 ,35.00 ,01/01/2022,12/31/2022
Idaho,99.00 ,1.00 ,0.00 ,99.00 ,93.00 ,6.00 ,1.00 ,96.00 ,91.00 ,8.00 ,1.00 ,96.00 ,87.00 ,11.00 ,2.00 ,95.00 ,2714.00 ,715.00 ,27.00 ,01/01/2022,12/31/2022
Illinois,98.00 ,2.00 ,0.00 ,99.00 ,92.00 ,6.00 ,2.00 ,95.00 ,89.00 ,9.00 ,2.00 ,95.00 ,87.00 ,11.00 ,2.00 ,95.00 ,8699.00 ,2598.00 ,30.00 ,01/01/2022,12/31/2022
Indiana,97.00 ,3.00 ,0.00 ,98.00 ,91.00 ,7.00 ,2.00 ,94.00 ,89.00 ,9.00 ,2.00 ,95.00 ,85.00 ,13.00 ,2.00 ,94.00 ,11637.00 ,3922.00 ,34.00 ,01/01/2022,12/31/2022
Iowa,98.00 ,2.00 ,0.00 ,99.00 ,93.00 ,6.00 ,1.00 ,96.00 ,90.00 ,8.00 ,2.00 ,95.00 ,90.00 ,9.00 ,1.00 ,96.00 ,1190.00 ,506.00 ,43.00 ,01/01/2022,12/31/2022
Kansas,98.00 ,2.00 ,0.00 ,99.00 ,90.00 ,8.00 ,2.00 ,94.00 ,88.00 ,10.00 ,2.00 ,95.00 ,86.00 ,13.00 ,1.00 ,95.00 ,990.00 ,388.00 ,39.00 ,01/01/2022,12/31/2022
Kentucky,,,,,,,,,,,,,,,,,,,,,
Louisiana,97.00 ,3.00 ,0.00 ,99.00 ,92.00 ,7.00 ,1.00 ,96.00 ,90.00 ,8.00 ,2.00 ,95.00 ,87.00 ,12.00 ,1.00 ,95.00 ,4562.00 ,1346.00 ,30.00 ,01/01/2022,12/31/2022
Maine,99.00 ,1.00 ,0.00 ,99.00 ,95.00 ,4.00 ,1.00 ,97.00 ,92.00 ,7.00 ,1.00 ,96.00 ,90.00 ,8.00 ,2.00 ,96.00 ,883.00 ,279.00 ,32.00 ,01/01/2022,12/31/2022
Maryland,97.00 ,3.00 ,0.00 ,98.00 ,92.00 ,6.00 ,2.00 ,95.00 ,88.00 ,10.00 ,2.00 ,95.00 ,84.00 ,14.00 ,2.00 ,93.00 ,27776.00 ,7251.00 ,26.00 ,01/01/2022,12/31/2022
Massachusetts,97.00 ,2.00 ,1.00 ,98.00 ,91.00 ,7.00 ,2.00 ,95.00 ,87.00 ,11.00 ,2.00 ,94.00 ,84.00 ,14.00 ,2.00 ,94.00 ,1124.00 ,418.00 ,37.00 ,01/01/2022,12/31/2022
Michigan,97.00 ,3.00 ,0.00 ,99.00 ,89.00 ,9.00 ,2.00 ,93.00 ,89.00 ,9.00 ,2.00 ,95.00 ,88.00 ,11.00 ,1.00 ,96.00 ,12431.00 ,3575.00 ,29.00 ,01/01/2022,12/31/2022
Minnesota,99.00 ,1.00 ,0.00 ,99.00 ,94.00 ,5.00 ,1.00 ,97.00 ,90.00 ,9.00 ,1.00 ,95.00 ,85.00 ,14.00 ,1.00 ,95.00 ,5448.00 ,1726.00 ,32.00 ,01/01/2022,12/31/2022
Mississippi,97.00 ,3.00 ,0.00 ,99.00 ,92.00 ,7.00 ,1.00 ,95.00 ,90.00 ,9.00 ,1.00 ,96.00 ,90.00 ,9.00 ,1.00 ,96.00 ,2017.00 ,492.00 ,24.00 ,01/01/2022,12/31/2022
Missouri,97.00 ,3.00 ,0.00 ,99.00 ,92.00 ,6.00 ,2.00 ,95.00 ,90.00 ,9.00 ,1.00 ,96.00 ,87.00 ,12.00 ,1.00 ,95.00 ,22208.00 ,7127.00 ,32.00 ,01/01/2022,12/31/2022
Montana,98.00 ,1.00 ,1.00 ,99.00 ,91.00 ,7.00 ,2.00 ,95.00 ,89.00 ,10.00 ,1.00 ,96.00 ,86.00 ,13.00 ,1.00 ,95.00 ,2776.00 ,922.00 ,33.00 ,01/01/2022,12/31/2022
Nebraska,98.00 ,2.00 ,0.00 ,99.00 ,92.00 ,7.00 ,1.00 ,95.00 ,87.00 ,10.00 ,3.00 ,94.00 ,86.00 ,13.00 ,1.00 ,95.00 ,1053.00 ,345.00 ,33.00 ,01/01/2022,12/31/2022
Nevada,97.00 ,3.00 ,0.00 ,98.00 ,90.00 ,8.00 ,2.00 ,94.00 ,90.00 ,8.00 ,2.00 ,95.00 ,86.00 ,12.00 ,2.00 ,94.00 ,4342.00 ,912.00 ,21.00 ,01/01/2022,12/31/2022
New Hampshire,99.00 ,1.00 ,0.00 ,99.00 ,93.00 ,6.00 ,1.00 ,96.00 ,93.00 ,6.00 ,1.00 ,97.00 ,91.00 ,8.00 ,1.00 ,96.00 ,4687.00 ,1626.00 ,35.00 ,01/01/2022,12/31/2022
New Jersey,97.00 ,3.00 ,0.00 ,99.00 ,91.00 ,7.00 ,2.00 ,94.00 ,89.00 ,9.00 ,2.00 ,95.00 ,87.00 ,12.00 ,1.00 ,95.00 ,25469.00 ,7359.00 ,29.00 ,01/01/2022,12/31/2022
New Mexico,96.00 ,3.00 ,1.00 ,98.00 ,89.00 ,9.00 ,2.00 ,94.00 ,86.00 ,12.00 ,2.00 ,94.00 ,84.00 ,13.00 ,3.00 ,93.00 ,1637.00 ,494.00 ,30.00 ,01/01/2022,12/31/2022
New York,,,,,,,,,,,,,,,,,,,,,
North Carolina,97.00 ,2.00 ,1.00 ,98.00 ,92.00 ,7.00 ,1.00 ,95.00 ,89.00 ,9.00 ,2.00 ,95.00 ,88.00 ,11.00 ,1.00 ,95.00 ,7818.00 ,1362.00 ,17.00 ,01/01/2022,12/31/2022
North Dakota,98.00 ,2.00 ,0.00 ,99.00 ,93.00 ,6.00 ,1.00 ,96.00 ,89.00 ,10.00 ,1.00 ,95.00 ,89.00 ,11.00 ,0.00 ,96.00 ,508.00 ,197.00 ,39.00 ,01/01/2022,12/31/2022
Ohio,98.00 ,1.00 ,1.00 ,99.00 ,92.00 ,6.00 ,2.00 ,95.00 ,92.00 ,7.00 ,1.00 ,96.00 ,90.00 ,9.00 ,1.00 ,96.00 ,8859.00 ,2831.00 ,32.00 ,01/01/2022,12/31/2022
Oklahoma,97.00 ,3.00 ,0.00 ,99.00 ,90.00 ,7.00 ,3.00 ,93.00 ,87.00 ,11.00 ,2.00 ,94.00 ,85.00 ,14.00 ,1.00 ,94.00 ,1162.00 ,392.00 ,34.00 ,01/01/2022,12/31/2022
Oregon,97.00 ,3.00 ,0.00 ,98.00 ,91.00 ,7.00 ,2.00 ,95.00 ,85.00 ,13.00 ,2.00 ,94.00 ,84.00 ,14.00 ,2.00 ,94.00 ,14421.00 ,4367.00 ,30.00 ,01/01/2022,12/31/2022
Pennsylvania,98.00 ,2.00 ,0.00 ,99.00 ,93.00 ,6.00 ,1.00 ,96.00 ,93.00 ,6.00 ,1.00 ,96.00 ,90.00 ,9.00 ,1.00 ,96.00 ,16445.00 ,5806.00 ,35.00 ,01/01/2022,12/31/2022
Puerto Rico,,,,,,,,,,,,,,,,,,,,,
Rhode Island,,,,,,,,,,,,,,,,,,,,,
South Carolina,97.00 ,3.00 ,0.00 ,99.00 ,93.00 ,6.00 ,1.00 ,96.00 ,90.00 ,8.00 ,2.00 ,96.00 ,88.00 ,10.00 ,2.00 ,95.00 ,4801.00 ,1760.00 ,37.00 ,01/01/2022,12/31/2022
South Dakota,,,,,,,,,,,,,,,,,,,,,
Tennessee,98.00 ,2.00 ,0.00 ,99.00 ,92.00 ,7.00 ,1.00 ,95.00 ,90.00 ,9.00 ,1.00 ,95.00 ,88.00 ,11.00 ,1.00 ,96.00 ,29029.00 ,7232.00 ,25.00 ,01/01/2022,12/31/2022
Texas,97.00 ,3.00 ,0.00 ,98.00 ,92.00 ,6.00 ,2.00 ,95.00 ,89.00 ,9.00 ,2.00 ,95.00 ,87.00 ,11.00 ,2.00 ,95.00 ,97454.00 ,21670.00 ,22.00 ,01/01/2022,12/31/2022
Utah,98.00 ,2.00 ,0.00 ,99.00 ,92.00 ,7.00 ,1.00 ,95.00 ,90.00 ,8.00 ,2.00 ,96.00 ,88.00 ,11.00 ,1.00 ,96.00 ,2938.00 ,774.00 ,26.00 ,01/01/2022,12/31/2022
Vermont,,,,,,,,,,,,,,,,,,,,,
Virgin Islands,,,,,,,,,,,,,,,,,,,,,
Virginia,98.00 ,2.00 ,0.00 ,99.00 ,92.00 ,7.00 ,1.00 ,96.00 ,90.00 ,9.00 ,1.00 ,95.00 ,88.00 ,11.00 ,1.00 ,95.00 ,12713.00 ,3878.00 ,31.00 ,01/01/2022,12/31/2022
Washington,97.00 ,3.00 ,0.00 ,98.00 ,92.00 ,7.00 ,1.00 ,95.00 ,89.00 ,9.00 ,2.00 ,95.00 ,87.00 ,12.00 ,1.00 ,95.00 ,29513.00 ,7763.00 ,26.00 ,01/01/2022,12/31/2022
West Virginia,,,,,,,,,,,,,,,,,,,,,
Wisconsin,99.00 ,1.00 ,0.00 ,100.00 ,93.00 ,6.00 ,1.00 ,96.00 ,91.00 ,8.00 ,1.00 ,96.00 ,90.00 ,9.00 ,1.00 ,96.00 ,2249.00 ,696.00 ,31.00 ,01/01/2022,12/31/2022
Wyoming,97.00 ,3.00 ,0.00 ,99.00 ,91.00 ,7.00 ,2.00 ,95.00 ,89.00 ,8.00 ,3.00 ,95.00 ,88.00 ,12.00 ,0.00 ,96.00 ,2416.00 ,776.00 ,32.00 ,01/01/2022,12/31/2022